120_90_accumulated_energy,355_90_accumulated_energy,590_90_accumulated_energy,0_295_accumulated_energy,240_295_accumulated_energy,470_295_accumulated_energy,700_295_accumulated_energy,120_500_accumulated_energy,355_500_accumulated_energy,590_500_accumulated_energy
751300.0,741880.0,525910.0,751300.0,751300.0,751300.0,751300.0,525910.0,751300.0,751300.0
751400.0,741950.0,525980.0,751400.0,751400.0,751400.0,751400.0,525980.0,751400.0,751400.0
751500.0,742020.0,526050.0,751500.0,751500.0,751500.0,751500.0,526050.0,751500.0,751500.0
751600.0,742090.0,526120.0,751600.0,751600.0,751600.0,751600.0,526120.0,751600.0,751600.0
751700.0,742160.0,526190.0,751700.0,751700.0,751700.0,751700.0,526190.0,751700.0,751700.0
751800.0,742230.0,526260.0,751800.0,751800.0,751800.0,751800.0,526260.0,751800.0,751800.0
751900.0,742300.0,526330.0,751900.0,751900.0,751900.0,751900.0,526330.0,751900.0,751900.0
752000.0,742370.0,526400.0,752000.0,752000.0,752000.0,752000.0,526400.0,752000.0,752000.0
752100.0,742440.0,526470.0,752100.0,752100.0,752100.0,752100.0,526470.0,752100.0,752100.0
752200.0,742510.0,526540.0,752200.0,752200.0,752200.0,752200.0,526540.0,752200.0,752200.0
752300.0,742580.0,526610.0,752300.0,752300.0,752300.0,752300.0,526610.0,752300.0,752300.0
752400.0,742650.0,526680.0,752400.0,752400.0,752400.0,752400.0,526680.0,752400.0,752400.0
